iter	Passed	Remaining
0	2	285
1	5	251
2	7	237
3	9	224
4	11	221
5	13	217
6	16	216
7	18	212
8	20	207
9	22	204
10	24	198
11	26	196
12	28	192
13	30	190
14	33	187
15	35	185
16	37	181
17	39	179
18	41	176
19	43	174
20	45	172
21	48	170
22	50	167
23	51	164
24	54	162
25	56	160
26	58	158
27	60	154
28	61	151
29	63	149
30	66	147
31	68	145
32	70	143
33	72	141
34	74	138
35	76	136
36	78	133
37	80	132
38	82	129
39	84	126
40	86	124
41	87	120
42	89	118
43	91	115
44	92	113
45	95	111
46	97	109
47	99	107
48	101	105
49	103	103
50	105	100
51	106	98
52	108	96
53	111	94
54	112	92
55	114	89
56	116	87
57	118	85
58	120	83
59	122	81
60	124	79
61	126	77
62	128	75
63	131	73
64	133	71
65	135	69
66	137	67
67	140	65
68	142	63
69	144	61
70	146	59
71	148	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	160	45
78	162	43
79	164	41
80	166	39
81	168	36
82	169	34
83	171	32
84	174	30
85	175	28
86	177	26
87	179	24
88	181	22
89	183	20
90	185	18
91	187	16
92	189	14
93	191	12
94	193	10
95	195	8
96	197	6
97	198	4
98	200	2
99	202	0
